Location,Code,GeographicLevel
SANTA CRUZ NORTE,012803034,Bgy
SANTA CRUZ SUR,012803035,Bgy
SAUD,012803036,Bgy
TUROD,012803037,Bgy
BANGUI,012804000,Mun
ABACA,012804001,Bgy
BACSIL,012804002,Bgy
BANBAN,012804003,Bgy
BARUYEN,012804004,Bgy
DADAOR,012804005,Bgy
LANAO,012804006,Bgy
MALASIN,012804007,Bgy
MANAYON,012804008,Bgy
MASIKIL,012804009,Bgy
NAGBALAGAN,012804010,Bgy
PAYAC,012804011,Bgy
SAN LORENZO (POB.),012804012,Bgy
TAGUIPORO,012804014,Bgy
UTOL,012804015,Bgy
CITY OF BATAC,012805000,City
AGLIPAY (POB.),012805001,Bgy
BAAY,012805002,Bgy
BALIGAT,012805003,Bgy
BUNGON,012805004,Bgy
BAOA EAST,012805005,Bgy
BAOA WEST,012805006,Bgy
BARANI (POB.),012805007,Bgy
BEN-AGAN (POB.),012805009,Bgy
BIL-LOCA,012805010,Bgy
BININGAN,012805011,Bgy
CALLAGUIP (POB.),012805012,Bgy
CAMANDINGAN,012805013,Bgy
CAMGUIDAN,012805014,Bgy
CANGRUNAAN (POB.),012805015,Bgy
CAPACUAN,012805016,Bgy
CAUNAYAN (POB.),012805017,Bgy
VALDEZ POB. (CAOAYAN),012805018,Bgy
COLO,012805019,Bgy
PIMENTEL (CUBOL),012805020,Bgy
DARIWDIW,012805021,Bgy
ACOSTA POB. (ILOILO),012805022,Bgy
ABLAN POB. (LABUCAO),012805023,Bgy
LACUB (POB.),012805024,Bgy
MABALENG,012805025,Bgy
MAGNUANG,012805026,Bgy
MAIPALIG,012805027,Bgy
NAGBACALAN,012805028,Bgy
NAGUIRANGAN,012805029,Bgy
RICARTE POB. (NALASIN),012805030,Bgy
PALONGPONG,012805031,Bgy
PALPALICONG (POB.),012805032,Bgy
PARANGOPONG,012805033,Bgy
PAYAO,012805034,Bgy
QUILING NORTE,012805035,Bgy
QUILING SUR,012805036,Bgy
QUIOM,012805037,Bgy
RAYURAY,012805038,Bgy
SAN JULIAN (POB.),012805039,Bgy
SAN MATEO,012805040,Bgy
SAN PEDRO,012805041,Bgy
SUABIT (POB.),012805042,Bgy
SUMADER,012805043,Bgy
TABUG,012805044,Bgy
BURGOS,012806000,Mun
ABLAN SARAT,012806001,Bgy
AGAGA,012806002,Bgy
BAYOG,012806005,Bgy
BOBON,012806006,Bgy
BUDUAN (MALITUEK),012806007,Bgy
NAGSUROT,012806008,Bgy
PAAYAS,012806009,Bgy
PAGALI,012806010,Bgy
POBLACION,012806011,Bgy
SAOIT,012806013,Bgy
TANAP,012806014,Bgy
CARASI,012807000,Mun
ANGSET,012807001,Bgy
BARBAQUESO (POB.),012807003,Bgy
VIRBIRA,012807004,Bgy
CURRIMAO,012808000,Mun
ANGGAPANG NORTE,012808001,Bgy
ANGGAPANG SUR,012808002,Bgy
BIMMANGA,012808003,Bgy
CABUUSAN,012808004,Bgy
COMCOMLOONG,012808005,Bgy
GAANG,012808006,Bgy
LANG-AYAN-BARAMBAN,012808007,Bgy
LIOES,012808008,Bgy
MAGLAOI CENTRO,012808009,Bgy
MAGLAOI NORTE,012808010,Bgy
MAGLAOI SUR,012808011,Bgy
PAGULUDAN-SALINDEG,012808013,Bgy
PANGIL,012808014,Bgy
PIAS NORTE,012808015,Bgy
PIAS SUR,012808016,Bgy
POBLACION I,012808017,Bgy
POBLACION II,012808018,Bgy
SALUGAN,012808019,Bgy
SAN SIMEON,012808020,Bgy
SANTA CRUZ,012808021,Bgy
TAPAO-TIGUE,012808022,Bgy
TORRE,012808023,Bgy
VICTORIA,012808024,Bgy
DINGRAS,012809000,Mun
ALBANO (POB.),012809001,Bgy
BACSIL,012809002,Bgy
BAGUT,012809003,Bgy
PARADO (BANGAY),012809004,Bgy
BARESBES,012809005,Bgy
BARONG,012809006,Bgy
BUNGCAG,012809007,Bgy
CALI,012809009,Bgy
CAPASAN,012809010,Bgy
DANCEL (POB.),012809011,Bgy
FOZ,012809012,Bgy
GUERRERO (POB.),012809013,Bgy
LANAS,012809014,Bgy
LUMBAD,012809015,Bgy
MADAMBA (POB.),012809016,Bgy
MANDALOQUE,012809017,Bgy
MEDINA,012809018,Bgy
VER (NAGLAYAAN),012809019,Bgy
SAN MARCELINO (PADONG),012809020,Bgy
PURUGANAN (POB.),012809021,Bgy
PERALTA (POB.),012809022,Bgy
ROOT (BALDIAS),012809023,Bgy
SAGPATAN,012809024,Bgy
SALUDARES,012809025,Bgy
SAN ESTEBAN,012809026,Bgy
ESPIRITU,012809027,Bgy
SULQUIANO (SIDIRAN),012809028,Bgy
SAN FRANCISCO (SURRATE),012809029,Bgy
SUYO,012809030,Bgy
SAN MARCOS,012809031,Bgy
ELIZABETH,012809032,Bgy
DUMALNEG,012810000,Mun
CABARITAN (DUMALNEG),012810001,Bgy
SAN ISIDRO,012810002,Bgy
KALAW (DUMALNEG),012810003,Bgy
QUIBEL (DUMALNEG),012810004,Bgy
BANNA (ESPIRITU),012811000,Mun
BALIOEG,012811001,Bgy
BANGSAR,012811002,Bgy
BARBARANGAY,012811003,Bgy
BOMITOG,012811004,Bgy
BUGASI,012811005,Bgy
CAESTEBANAN,012811006,Bgy
CARIBQUIB,012811008,Bgy
CATAGTAGUEN,012811009,Bgy
CRISPINA,012811011,Bgy
HILARIO (POB.),012811012,Bgy
IMELDA,012811013,Bgy
LORENZO (POB.),012811014,Bgy
MACAYEPYEP,012811015,Bgy
MARCOS (POB.),012811016,Bgy
NAGPATAYAN,012811017,Bgy
VALDEZ,012811018,Bgy
SINAMAR,012811019,Bgy
TABTABAGAN,012811020,Bgy
VALENCIANO (POB.),012811021,Bgy
BINACAG,012811022,Bgy
CITY OF LAOAG (CAPITAL),012812000,City
"BGY. NO. 42, APAYA",012812001,Bgy
"BGY. NO. 36, ARANIW",012812002,Bgy
"BGY. NO. 56-A, BACSIL NORTH",012812003,Bgy
"BGY. NO. 56-B, BACSIL SOUTH",012812004,Bgy
"BGY. NO. 41, BALACAD",012812005,Bgy
"BGY. NO. 40, BALATONG",012812006,Bgy
"BGY. NO. 55-A, BARIT-PANDAN",012812007,Bgy
"BGY. NO. 47, BENGCAG",012812008,Bgy
"BGY. NO. 50, BUTTONG",012812009,Bgy
"BGY. NO. 60-A, CAAOACAN",012812010,Bgy
"BRY. NO. 48-A, CABUNGAAN NORTH",012812011,Bgy
"BGY. NO. 48-B, CABUNGAAN SOUTH",012812012,Bgy
"BGY. NO. 37, CALAYAB",012812013,Bgy
"BGY. NO. 54-B, CAMANGAAN",012812014,Bgy
"BGY. NO. 58, CASILI",012812015,Bgy
"BGY. NO. 61, CATABAN",012812016,Bgy
"BGY. NO. 43, CAVIT",012812017,Bgy
"BGY. NO. 49-A, DARAYDAY",012812019,Bgy
"BGY. NO. 59-B, DIBUA NORTH",012812020,Bgy
"BGY. NO. 59-A, DIBUA SOUTH",012812021,Bgy
"BGY. NO. 34-B, GABU NORTE EAST",012812022,Bgy
"BGY. NO. 34-A, GABU NORTE WEST",012812023,Bgy
"BGY. NO. 35, GABU SUR",012812024,Bgy
BGY. NO. 32-C LA PAZ EAST,012812026,Bgy
"BGY. NO. 33-B, LA PAZ PROPER",012812027,Bgy
"BGY. NO. 32-B, LA PAZ WEST",012812028,Bgy
"BGY. NO. 54-A, LAGUI-SAIL",012812029,Bgy
"BGY. NO. 32-A, LA PAZ EAST",012812030,Bgy
"BGY. NO. 33-A, LA PAZ PROPER",012812031,Bgy
"BGY. NO. 52-B, LATAAG",012812032,Bgy
"BGY. NO. 60-B, MADILADIG",012812033,Bgy
"BGY. NO. 38-A, MANGATO EAST",012812034,Bgy
"BGY. NO. 38-B, MANGATO WEST",012812035,Bgy
"BGY. NO. 62-A, NAVOTAS NORTH",012812036,Bgy
"BGY. NO. 62-B, NAVOTAS SOUTH",012812037,Bgy
"BGY. NO. 46, NALBO",012812038,Bgy
"BGY. NO. 51-A, NANGALISAN EAST",012812039,Bgy
"BGY. NO. 51-B, NANGALISAN WEST",012812040,Bgy
"BGY. NO. 24, NSTRA. SRA. DE CONSOLACION (POB.)",012812041,Bgy
"BGY. NO. 7-A, NSTRA. SRA. DE NATIVIDAD (POB.)",012812042,Bgy
"BGY. NO. 7-B, NSTRA. SRA. DE NATIVIDAD (POB.)",012812043,Bgy
"BGY. NO. 27, NSTRA. SRA. DE SOLEDAD (POB.)",012812044,Bgy
"BGY. NO. 13, NSTRA. SRA. DE VISITACION (POB.)",012812045,Bgy
"BGY. NO. 3, NSTRA. SRA. DEL ROSARIO (POB.)",012812046,Bgy
"BGY. NO. 57, PILA",012812047,Bgy
"BGY. NO. 49-B, RARABURAN",012812048,Bgy
"BGY. NO. 53, RIOENG",012812049,Bgy
"BGY. NO. 55-B, SALET-BULANGON",012812050,Bgy
"BGY. NO. 6, SAN AGUSTIN (POB.)",012812053,Bgy
"BGY. NO. 22, SAN ANDRES (POB.)",012812054,Bgy
"BGY. NO. 28, SAN BERNARDO (POB.)",012812055,Bgy
"BGY. NO. 17, SAN FRANCISCO (POB.)",012812056,Bgy
"BGY. NO. 4, SAN GUILLERMO (POB.)",012812057,Bgy
"BGY. NO. 15, SAN GUILLERMO (POB.)",012812058,Bgy
"BGY. NO. 12, SAN ISIDRO (POB.)",012812059,Bgy
"BGY. NO. 16, SAN JACINTO (POB.)",012812060,Bgy
"BGY. NO. 10, SAN JOSE (POB.)",012812061,Bgy
"BGY. NO. 1, SAN LORENZO (POB.)",012812062,Bgy
"BGY. NO. 26, SAN MARCELINO (POB.)",012812063,Bgy
"BGY. NO. 52-A, SAN MATEO",012812064,Bgy
"BGY. NO. 23, SAN MATIAS (POB.)",012812065,Bgy
"BGY. NO. 20, SAN MIGUEL (POB.)",012812066,Bgy
"BGY. NO. 21, SAN PEDRO (POB.)",012812067,Bgy
"BGY. NO. 5, SAN PEDRO (POB.)",012812068,Bgy
"BRY. NO. 18, SAN QUIRINO (POB.)",012812069,Bgy
"BGY. NO. 8, SAN VICENTE (POB.)",012812070,Bgy
"BGY. NO. 9, SANTA ANGELA (POB.)",012812071,Bgy
"BGY. NO. 11, SANTA BALBINA (POB.)",012812072,Bgy
"BGY. NO. 25, SANTA CAYETANA (POB.)",012812073,Bgy
"BGY. NO. 2, SANTA JOAQUINA (POB.)",012812074,Bgy
"BGY. NO. 19, SANTA MARCELA (POB.)",012812075,Bgy
"BGY. NO. 30-B, SANTA MARIA",012812076,Bgy
"BGY. NO. 39, SANTA ROSA",012812077,Bgy
"BGY. NO. 14, SANTO TOMAS (POB.)",012812078,Bgy
"BGY. NO. 29, SANTO TOMAS (POB.)",012812079,Bgy
"BGY. NO. 30-A, SUYO",012812080,Bgy
"BGY. NO. 31, TALINGAAN",012812081,Bgy
"BGY. NO. 45, TANGID",012812082,Bgy
"BGY. NO. 55-C, VIRA",012812083,Bgy
"BGY. NO. 44, ZAMBOANGA",012812084,Bgy
MARCOS,012813000,Mun
PACIFICO (AGUNIT),012813001,Bgy
IMELDA (CAPARIAAN),012813003,Bgy
ELIZABETH (CULAO),012813004,Bgy
DAQUIOAG,012813005,Bgy
ESCODA,012813006,Bgy
FERDINAND,012813007,Bgy
FORTUNA,012813008,Bgy
LYDIA (POB.),012813009,Bgy
MABUTI,012813010,Bgy
VALDEZ (BIDING),012813011,Bgy
TABUCBUC (RAGAS),012813012,Bgy
SANTIAGO,012813013,Bgy
CACAFEAN,012813014,Bgy
NUEVA ERA,012814000,Mun
ACNAM,012814001,Bgy
BARANGOBONG,012814002,Bgy
BARIKIR,012814003,Bgy
BUGAYONG,012814004,Bgy
CABITTAURAN,012814005,Bgy
CARAY,012814006,Bgy
GARNADEN,012814007,Bgy
NAGUILLAN (PAGPAG-ONG),012814008,Bgy
POBLACION,012814009,Bgy
SANTO NIÑO,012814010,Bgy
UGUIS,012814011,Bgy
PAGUDPUD,012815000,Mun
AGGASI,012815001,Bgy
BADUANG,012815003,Bgy
BALAOI,012815004,Bgy
BURAYOC,012815005,Bgy
CAUNAYAN,012815006,Bgy
DAMPIG,012815007,Bgy
LIGAYA,012815008,Bgy
PANCIAN,012815010,Bgy
PASALENG,012815011,Bgy
POBLACION 1,012815012,Bgy
POBLACION 2,012815013,Bgy
SAGUIGUI,012815014,Bgy
SAUD,012815015,Bgy
SUBEC,012815016,Bgy
TARRAG,012815017,Bgy
CAPARISPISAN,012815018,Bgy
PAOAY,012816000,Mun
BACSIL,012816001,Bgy
CABAGOAN,012816002,Bgy
CABANGARAN,012816003,Bgy
CALLAGUIP,012816004,Bgy
CAYUBOG,012816005,Bgy
DOLORES,012816006,Bgy
LAOA,012816007,Bgy
MASINTOC,012816008,Bgy
MONTE,012816009,Bgy
MUMULAAN,012816010,Bgy
NAGBACALAN,012816011,Bgy
NALASIN,012816012,Bgy
NANGUYUDAN,012816013,Bgy
OAIG-UPAY-ABULAO,012816014,Bgy
PAMBARAN,012816015,Bgy
PANNARATAN (POB.),012816016,Bgy
PARATONG,012816017,Bgy
PASIL,012816018,Bgy
SALBANG (POB.),012816019,Bgy
SAN AGUSTIN,012816020,Bgy
SAN BLAS (POB.),012816021,Bgy
SAN JUAN,012816022,Bgy
SAN PEDRO,012816025,Bgy
SAN ROQUE (POB.),012816028,Bgy
SANGLADAN POB. (NALBUAN),012816029,Bgy
SANTA RITA (POB.),012816030,Bgy
SIDEG,012816031,Bgy
SUBA,012816032,Bgy
SUNGADAN,012816033,Bgy
SURGUI,012816034,Bgy
VERONICA,012816035,Bgy
PASUQUIN,012817000,Mun
BATULI,012817001,Bgy
BINSANG,012817002,Bgy
NALVO (CABABAAN-NALVO),012817003,Bgy
CARUAN,012817004,Bgy
CARUSIKIS,012817005,Bgy
CARUSIPAN,012817006,Bgy
DADAEMAN,012817007,Bgy
DARUPIDIP,012817008,Bgy
DAVILA,012817009,Bgy
DILANIS,012817010,Bgy
DILAVO,012817011,Bgy
ESTANCIA,012817012,Bgy
NAGLICUAN,012817014,Bgy
NAGSANGA,012817015,Bgy
NGABANGAB,012817016,Bgy
PANGIL,012817017,Bgy
POBLACION 1,012817018,Bgy
POBLACION 2,012817019,Bgy
POBLACION 3,012817020,Bgy
POBLACION 4,012817021,Bgy
PRAGATA (PRAGATA-BUNGRO),012817022,Bgy
PUYUPUYAN,012817023,Bgy
SULONGAN,012817024,Bgy
SALPAD,012817025,Bgy
SAN JUAN,012817026,Bgy
SANTA CATALINA,012817027,Bgy
SANTA MATILDE,012817028,Bgy
SAPAT,012817029,Bgy
SULBEC,012817030,Bgy
SURONG,012817031,Bgy
SUSUGAEN,012817032,Bgy
TABUNGAO,012817033,Bgy
TADAO,012817034,Bgy
PIDDIG,012818000,Mun
AB-ABUT,012818001,Bgy
ABUCAY,012818002,Bgy
ANAO (POB.),012818003,Bgy
ARUA-AY,012818004,Bgy
BIMMANGA,012818005,Bgy
BOYBOY,012818006,Bgy
CABAROAN (POB.),012818007,Bgy
CALAMBEG,012818008,Bgy
CALLUSA,012818009,Bgy
DUPITAC,012818010,Bgy
ESTANCIA,012818011,Bgy
GAYAMAT,012818012,Bgy
LAGANDIT,012818013,Bgy
LIBNAOAN,012818014,Bgy
LOING (POB.),012818015,Bgy
MAAB-ABACA,012818016,Bgy
MANGITAYAG,012818017,Bgy
MARUAYA,012818018,Bgy
SAN ANTONIO,012818019,Bgy
SANTA MARIA,012818020,Bgy
SUCSUQUEN,012818021,Bgy
TANGAOAN,012818022,Bgy
TONOTON,012818023,Bgy
PINILI,012819000,Mun
AGLIPAY,012819001,Bgy
APATUT-LUBONG,012819002,Bgy
BADIO,012819003,Bgy
BARBAR,012819004,Bgy
BUANGA,012819005,Bgy
BULBULALA,012819006,Bgy
BUNGRO,012819007,Bgy
CABAROAN,012819008,Bgy
CAPANGDANAN,012819009,Bgy
DALAYAP,012819010,Bgy
DARAT,012819011,Bgy
GULPENG,012819012,Bgy
LILIPUTEN,012819013,Bgy
LUMBAAN-BICBICA,012819014,Bgy
NAGTRIGOAN,012819015,Bgy
PAGDILAO (POB.),012819016,Bgy
PUGAOAN,012819017,Bgy
PURITAC,012819018,Bgy
SACRITAN,012819019,Bgy
SALANAP,012819020,Bgy
SANTO TOMAS,012819021,Bgy
TARTARABANG,012819022,Bgy
PUZOL,012819023,Bgy
UPON,012819024,Bgy
VALBUENA (POB.),012819025,Bgy
SAN NICOLAS,012820000,Mun
SAN FRANCISCO (POB.),012820001,Bgy
SAN ILDEFONSO (POB.),012820002,Bgy
SAN AGUSTIN,012820003,Bgy
SAN BALTAZAR (POB.),012820004,Bgy
SAN BARTOLOME (POB.),012820005,Bgy
SAN CAYETANO (POB.),012820006,Bgy
SAN EUGENIO (POB.),012820007,Bgy
SAN FERNANDO (POB.),012820008,Bgy
SAN GREGORIO (POB.),012820009,Bgy
SAN GUILLERMO,012820010,Bgy
SAN JOSE (POB.),012820011,Bgy
SAN JUAN BAUTISTA (POB.),012820012,Bgy
SAN LORENZO,012820013,Bgy
SAN LUCAS (POB.),012820014,Bgy
SAN MARCOS (PAYAS),012820015,Bgy
SAN MIGUEL (POB.),012820016,Bgy
SAN PABLO,012820017,Bgy
SAN PAULO (POB.),012820018,Bgy
SAN PEDRO (BINGAO),012820019,Bgy
SAN RUFINO (POB.),012820020,Bgy
SAN SILVESTRE (POB.),012820021,Bgy
SANTA ASUNCION (SAMAC),012820022,Bgy
SANTA CECILIA (BARABAR),012820023,Bgy
SANTA MONICA (NAGREBCAN),012820024,Bgy
SARRAT,012821000,Mun
SAN AGUSTIN (POB.),012821001,Bgy
SAN ANDRES,012821002,Bgy
SAN ANTONIO,012821003,Bgy
SAN BERNABE,012821004,Bgy
SAN CRISTOBAL,012821005,Bgy
SAN FELIPE,012821006,Bgy
SAN FRANCISCO (POB.),012821007,Bgy
SAN ISIDRO,012821008,Bgy
SAN JOAQUIN (POB.),012821009,Bgy
SAN JOSE,012821010,Bgy
SAN JUAN,012821011,Bgy
SAN LEANDRO (POB.),012821012,Bgy
SAN LORENZO,012821014,Bgy
SAN MANUEL,012821015,Bgy
SAN MARCOS,012821016,Bgy
SAN NICOLAS,012821017,Bgy
SAN PEDRO,012821018,Bgy
SAN ROQUE,012821019,Bgy
SAN VICENTE (POB.),012821020,Bgy
SANTA BARBARA (POB.),012821021,Bgy
SANTA MAGDALENA,012821022,Bgy
SANTA ROSA,012821023,Bgy
SANTO SANTIAGO,012821024,Bgy
SANTO TOMAS,012821025,Bgy
SOLSONA,012822000,Mun
AGUITAP,012822001,Bgy
BAGBAG,012822002,Bgy
BAGBAGO,012822003,Bgy
BARCELONA,012822004,Bgy
BUBUOS,012822005,Bgy
CAPURICTAN,012822006,Bgy
CATANGRARAN,012822007,Bgy
DARASDAS,012822008,Bgy
JUAN (POB.),012822009,Bgy
LAURETA (POB.),012822010,Bgy
LIPAY,012822011,Bgy
MAANANTENG,012822012,Bgy
MANALPAC,012822013,Bgy
MARIQUET,012822014,Bgy
NAGPATPATAN,012822015,Bgy
NALASIN,012822016,Bgy
PUTTAO,012822017,Bgy
SAN JUAN,012822018,Bgy
SAN JULIAN,012822019,Bgy
SANTA ANA,012822020,Bgy
SANTIAGO,012822021,Bgy
TALUGTOG,012822022,Bgy
VINTAR,012823000,Mun
ABKIR,012823001,Bgy
ALSEM,012823003,Bgy
BAGO,012823005,Bgy
BULBULALA,012823010,Bgy
CABANGARAN,012823011,Bgy
CABAYO,012823012,Bgy
CABISOCOLAN,012823013,Bgy
CANAAM,012823014,Bgy
COLUMBIA,012823015,Bgy
DAGUPAN,012823016,Bgy
PEDRO F. ALVIAR (DIATON),012823017,Bgy
DIPILAT,012823019,Bgy
ESPERANZA,012823022,Bgy
ESTER,012823023,Bgy
ISIC ISIC,012823024,Bgy
LUBNAC,012823027,Bgy
MABANBANAG,012823028,Bgy
ALEJO MALASIG,012823030,Bgy
MANARANG,012823031,Bgy
MARGAAY,012823033,Bgy
NAMOROC,012823035,Bgy
MALAMPA (PENINAAN-MALAMPA),012823038,Bgy
PARPAROROC,012823039,Bgy
PARUT,012823040,Bgy
SALSALAMAGUI,012823047,Bgy
SAN JOSE (LIPAY),012823049,Bgy
SAN NICOLAS (POB.),012823050,Bgy
SAN PEDRO (POB.),012823051,Bgy
SAN RAMON (POB.),012823052,Bgy
SAN ROQUE (POB.),012823053,Bgy
SANTA MARIA (POB.),012823054,Bgy
TAMDAGAN,012823056,Bgy
VISAYA,012823058,Bgy
ILOCOS SUR,012900000,Prov
ALILEM,012901000,Mun
ALILEM DAYA (POB.),012901001,Bgy
AMILONGAN,012901002,Bgy
ANAAO,012901003,Bgy
APANG,012901004,Bgy
APAYA,012901005,Bgy
BATBATO,012901006,Bgy
DADDAAY,012901010,Bgy
DALAWA,012901011,Bgy
KIAT,012901013,Bgy
BANAYOYO,012902000,Mun
BAGBAGOTOT,012902001,Bgy
BANBANAAL,012902002,Bgy
BISANGOL,012902004,Bgy
CADANGLAAN,012902005,Bgy
CASILAGAN NORTE,012902006,Bgy
CASILAGAN SUR,012902007,Bgy
ELEFANTE,012902008,Bgy
GUARDIA,012902009,Bgy
LINTIC,012902010,Bgy
LOPEZ,012902011,Bgy
MONTERO,012902012,Bgy
NAGUIMBA,012902013,Bgy
PILA,012902014,Bgy
POBLACION,012902015,Bgy
BANTAY,012903000,Mun
AGGAY,012903001,Bgy
AN-ANNAM,012903002,Bgy
BALALENG,012903003,Bgy
BANAOANG,012903004,Bgy
BULAG,012903005,Bgy
BUQUIG,012903006,Bgy
CABALANGGAN,012903007,Bgy
CABAROAN,012903008,Bgy
CABUSLIGAN,012903009,Bgy
CAPANGDANAN,012903010,Bgy
GUIMOD,012903011,Bgy
LINGSAT,012903012,Bgy
MALINGEB,012903013,Bgy
MIRA,012903014,Bgy
NAGUIDDAYAN,012903015,Bgy
ORA,012903016,Bgy
PAING,012903017,Bgy
PUSPUS,012903018,Bgy
QUIMMARAYAN,012903019,Bgy
SAGNEB,012903020,Bgy
SAGPAT,012903021,Bgy
SAN MARIANO (SALLACONG),012903022,Bgy
SAN ISIDRO,012903023,Bgy
SAN JULIAN,012903024,Bgy
SINABAAN,012903026,Bgy
TAGUIPORO,012903027,Bgy
TALEB,012903028,Bgy
TAY-AC,012903029,Bgy
BARANGAY 1 (POB.),012903030,Bgy
BARANGAY 2 (POB.),012903031,Bgy
BARANGAY 3 (POB.),012903032,Bgy
BARANGAY 4 (POB.),012903033,Bgy
BARANGAY 5 (POB.),012903034,Bgy
BARANGAY 6 (POB.),012903035,Bgy
BURGOS,012904000,Mun
AMBUGAT,012904001,Bgy
BALUGANG,012904002,Bgy
BANGBANGAR,012904003,Bgy
BESSANG,012904005,Bgy
CABCABURAO,012904006,Bgy
CADACAD,012904007,Bgy
CALLITONG,012904008,Bgy
DAYANKI,012904009,Bgy
LESSEB,012904010,Bgy
LUBING,012904011,Bgy
LUCABAN,012904012,Bgy
LUNA,012904013,Bgy
MACAOAYAN,012904014,Bgy
MAMBUG,012904015,Bgy
MANABOC,012904016,Bgy
MAPANIT,012904017,Bgy
POBLACION SUR (MASINGIT),012904018,Bgy
NAGPANAOAN,012904019,Bgy
DIRDIRIG (DIRDIRIG-PADAY),012904020,Bgy
PADUROS,012904022,Bgy
PATAC,012904023,Bgy
POBLACION NORTE (BATO),012904024,Bgy
SABANGAN PINGGAN,012904026,Bgy
SUBADI NORTE,012904027,Bgy
SUBADI SUR,012904028,Bgy
TALIAO,012904029,Bgy
CABUGAO,012905000,Mun
ALINAAY,012905001,Bgy
ARAGAN,012905002,Bgy
ARNAP,012905003,Bgy
BACLIG (POB.),012905004,Bgy
BATO,012905005,Bgy
BONIFACIO (POB.),012905006,Bgy
BUNGRO,012905007,Bgy
CACADIRAN,012905008,Bgy
CAELLAYAN,012905009,Bgy
CARUSIPAN,012905010,Bgy
CATUCDAAN,012905011,Bgy
CUANCABAL,012905012,Bgy
CUANTACLA,012905013,Bgy
DACLAPAN,012905014,Bgy
DARDARAT,012905015,Bgy
LIPIT,012905016,Bgy
MARADODON,012905017,Bgy
MARGAAY,012905018,Bgy
NAGSANTAAN,012905019,Bgy
NAGSINCAOAN,012905020,Bgy
NAMRUANGAN,012905021,Bgy
PILA,012905022,Bgy
PUG-OS,012905023,Bgy
QUEZON (POB.),012905024,Bgy
REPPAAC,012905025,Bgy
RIZAL (POB.),012905026,Bgy
SABANG,012905027,Bgy
SAGAYADEN,012905028,Bgy
SALAPASAP,012905029,Bgy
SALOMAGUE,012905030,Bgy
SISIM,012905031,Bgy
TUROD,012905032,Bgy
TUROD-PATAC,012905033,Bgy
CITY OF CANDON,012906000,City
ALLANGIGAN PRIMERO,012906001,Bgy
ALLANGIGAN SEGUNDO,012906002,Bgy
AMGUID,012906003,Bgy
AYUDANTE,012906004,Bgy
BAGANI CAMPOSANTO,012906005,Bgy
BAGANI GABOR,012906006,Bgy
BAGANI TOCGO,012906007,Bgy
BAGANI UBBOG,012906008,Bgy
